SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-11-2010,Single Family Residential,2214 177th St SE,Bothell,WA,98012,475000,3,2.0,Mays Pond,1264,7405,1976,9,376,29,Pending,,,http://www.redfin.com/WA/Bothell/2214-177th-St-SE-98012/home/2677477,NWMLS,1272501,N,Y,47.8371061,-122.2026426
PAST SALE,October-30-2013,Single Family Residential,17419 14th Dr SE,Bothell,WA,98012,540000,3,2.5,Mill Creek,2019,3580,2007,9,267,31,Pending,,,http://www.redfin.com/WA/Bothell/17419-14th-Dr-SE-98012/unit-12/home/11882768,NWMLS,1272975,N,Y,47.8395998,-122.2126433
PAST SALE,April-13-2016,Single Family Residential,409 203rd Place SE,Bothell,WA,98012,550000,4,2.5,Bothell,1890,3417,2010,9,291,55,Pending,,,http://www.redfin.com/WA/Bothell/409-203rd-Pl-SE-98012/unit-13/home/28902252,NWMLS,1272923,N,Y,47.813648,-122.226219
PAST SALE,October-26-2006,Single Family Residential,4020 167th Place SE,Bothell,WA,98012,718000,4,2.75,Mill Creek,2715,5663,2006,9,264,34,Pending,,,http://www.redfin.com/WA/Bothell/4020-167th-Pl-SE-98012/home/11881175,NWMLS,1260811,N,Y,47.8454554,-122.1781792
PAST SALE,May-9-2005,Condo/Co-op,20326 Bothell Everett Hwy Unit G303,Bothell,WA,98012,250000,2,1.0,Bothell,860,301186,1986,9,291,357,Pending,,,http://www.redfin.com/WA/Bothell/20326-Bothell-Everett-Hwy-98012/unit-G303/home/2910414,NWMLS,1268653,N,Y,47.813465,-122.210683
PAST SALE,June-24-2016,Condo/Co-op,18910 Bothell- Everett Highway Unit C3,Bothell,WA,98012,269000,2,1.5,Thrashers Corner,902,,1988,9,298,385,Pending,,,http://www.redfin.com/WA/Bothell/18910-Bothell-Everett-Hwy-98012/unit-C3/home/2826752,NWMLS,1272282,N,Y,47.8261641,-122.2085214
PAST SALE,September-2-2005,Single Family Residential,2704 144th Ct SE,Mill Creek,WA,98012,715000,4,2.75,Mill Creek,2973,11761,1979,9,240,42,Pending,,,http://www.redfin.com/WA/Mill-Creek/2704-144th-Ct-SE-98012/home/2783670,NWMLS,1271159,N,Y,47.8662006,-122.1959813
PAST SALE,,Single Family Residential,18628 187th. St SE,Bothell,WA,98012,674995,3,2.25,North Creek,1541,3139,2018,10,438,88,Pending,,,http://www.redfin.com/WA/Bothell/18628-187th-St-SE-98012/home/145300794,NWMLS,1272363,N,Y,47.828941,-122.172578
PAST SALE,December-30-2011,Single Family Residential,122 197th St SW,Bothell,WA,98012,550000,4,2.0,Bothell,1964,2965,2007,10,280,33,Pending,,,http://www.redfin.com/WA/Bothell/122-197th-St-SW-98012/unit-35/home/12334208,NWMLS,1272360,N,Y,47.819735,-122.235363
PAST SALE,July-24-2007,Single Family Residential,13921 26th Ave SE,Mill Creek,WA,98012,549000,5,2.5,Mill Creek,2728,10454,1985,10,201,,Pending,,,http://www.redfin.com/WA/Mill-Creek/13921-26th-Ave-SE-98012/home/2803328,NWMLS,1271621,N,Y,47.8715668,-122.1964837
